Resource,Conformance Server,Parameter,Exists,Type,Expression,Modifiers,Comparators,Reference,Chains,Description,Example Query,foo
HealthcareService,SHALL,active,Y,token,HealthcareService.active,n/a,n/a,n/a,n/a,The Healthcare Service is currently marked as active,GET [base]/HealthcareService?active=[code],
Organization,SHALL,active,Y,token,Organization.active,n/a,n/a,n/a,n/a,Is the Organization record active,GET [base]/Organization?active=[code],
OrganizationAffiliation,SHALL,active,Y,token,OrganizationAffiliation.active,n/a,n/a,n/a,n/a,Select roles that are active/inactive,GET [base]/OrganizationAffiliation?active=[code],
Practitioner,SHALL,active,Y,token,Practitioner.active,n/a,n/a,n/a,n/a,Whether the practitioner record is active,GET [base]/Practitioner?active=[code],GET [Base]/Practitioner?family=[string]&=given=[string]
PractitionerRole,SHALL,active,Y,token,PractitionerRole.active,n/a,n/a,n/a,n/a,Whether this practitioner role record is in active use,GET [base]/PractitionerRole?active=[code],
Organization,MAY,address-use,Y,token,Organization.address.use,n/a,n/a,n/a,n/a,Select organizations with an address for the specified purpose,GET [base]/Organization?address-use=[code],GET [base]/Practitioner?qualification-issuer=[url]
CareTeam,MAY,careteam-category,Y,token,CareTeam.category,text,n/a,n/a,n/a,Select CareTeams of the specified type,GET [base]/CareTeam?careteam-category=[code],GET [base]/Practitioner?identifier-assigner=[url]
CareTeam,SHOULD,careteam-endpoint,N,reference,CareTeam.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/endpoint-reference'),n/a,n/a,Endpoint,identifier; connection-type; organization,Select CareTeams with the specified endpoint,GET [base]/CareTeam?careteam-endpoint=[id],
CareTeam,SHALL,careteam-identifier,Y,token,CareTeam.identifier,text; ofType,n/a,n/a,n/a,Select CareTeams with the specified identifier,GET [base]/CareTeam?careteam-identifier=[code],
CareTeam,MAY,careteam-identifier-assigner,N,reference,CareTeam.identifier.assigner,below,n/a,Organization,identifier; name,Select care teams with an identifier assigned by the specified organization,GET [base]/CareTeam?careteam-identifier-assigner=[id],
CareTeam,SHALL,careteam-location,N,reference,CareTeam.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/location-reference'),above; below,n/a,Location,identifier; type; address; organization,Select care teams operating at the specified location,GET [base]/CareTeam?careteam-location=[id],
CareTeam,SHALL,careteam-member,N,reference,CareTeam.participant.member,type,n/a,"PractitionerRole, Organization, CareTeam",,Select care teams that include the specified member,GET [base]/CareTeam?careteam-member=[id],
CareTeam,SHOULD,careteam-name,N,string,CareTeam.name | CareTeam.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/careteam-alias'),exact; contains,n/a,n/a,n/a,Select care teams with the specified name,GET [base]/CareTeam?careteam-name=[string],
CareTeam,SHALL,careteam-organization,N,reference,CareTeam.managingOrganization,above; below,n/a,Organization,identifier; name; address; partof; type,Select care teams managed by the specified organization,GET [base]/CareTeam?careteam-organization=[id],
CareTeam,SHOULD,careteam-service,N,reference,CareTeam.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/healthcareservice-reference'),n/a,n/a,HealthcareService,identifier; category; organization; location,Select care teams providing the specified service,GET [base]/CareTeam?careteam-service=[id],
CareTeam,SHALL,careteam-status,Y,token,CareTeam.status,n/a,n/a,n/a,n/a,Select CareTeams with the specified status,GET [base]/CareTeam?careteam-status=[code],
CareTeam,MAY,careteam-via-intermediary,N,reference,CareTeam.telecom.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/contactpoint-viaintermediary'),n/a,n/a,PractitionerRole; Organization; OrganizationAffiliation; Location,n/a,Select care teams with contact information available through the specified intermediary,GET [base]/CareTeam?careteam-via-intermediary=[id],
