,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Pattern,Pattern,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
Path_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condition,,Condition,,,,,,0.0,,*,,,,,,,,"Detailed information about conditions, problems or diagnoses",,\-,,\-,,,,,,,,,,,,,,Condition,,0,,*,,,,"con-3:Condition.clinicalStatus SHALL be present if verificationStatus is not entered-in-error and category is problem-list-item {clinicalStatus.exists() or verificationStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-ver-status' and code = 'entered-in-error').exists() or category.select($this='problem-list-item').empty()}
con-4:If condition is abated, then clinicalStatus must be either inactive, resolved, or remission {abatement.empty() or clinicalStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-clinical' and (code='resolved' or code='remission' or code='inactive')).exists()}con-5:Condition.clinicalStatus SHALL NOT be present if verification Status is entered-in-error {verificationStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-ver-status' and code='entered-in-error').empty() or clinicalStatus.empty()}dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}",,Event,right_only,
Condition-argoprofile,Condition,,argoprofile,,,,0.0,,*,,,,,,,,Argonaut Condition Profile,,"Use to record detailed information about conditions, problems or diagnoses recognized by a clinician. There are many uses including: recording a diagnosis during an encounter; populating a problem list or a summary statement, such as a discharge summary.",,,,,,,,,,,,,,,,Condition,,0.0,,*,,,,arg-1:Condition.clinicalStatus SHALL be present if verificationStatus is not entered-in-error. Condition.clinicalStatus SHALL NOT be present if verification Status is entered-in-error {clinicalStatus.exists() = (verificationStatus != 'entered-in-error')},,Condition,,,left_only
Condition.abatement[x],,,,,,,,,,,,Y,Y,,"dateTime
Quantity {http://hl7.org/fhir/StructureDefinition/Age}booleanPeriodRangestring","dateTime {[]} {[]}
Age {[]} {[]}Period {[]} {[]}Range {[]} {[]}string {[]} {[]}",If/when in resolution/remission,When in resolution/remission,,,"There is no explicit distinction between resolution and remission because in many cases the distinction is not clear. Age is generally used when the patient reports an age at which the Condition abated.  If there is no abatement element, it is unknown whether the condition has resolved or entered remission; applications and users should generally assume that the condition is still valid.","There is no explicit distinction between resolution and remission because in many cases the distinction is not clear. Age is generally used when the patient reports an age at which the Condition abated.  If there is no abatement element, it is unknown whether the condition has resolved or entered remission; applications and users should generally assume that the condition is still valid.  When abatementString exists, it implies the condition is abated.",,,,,,,,,,,,,,,0.0,0,,,,con-4,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Condition.asserter,,,,,,,,,,,,,,,"Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}
Reference {http://hl7.org/fhir/StructureDefinition/Patient}","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}",,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Condition.bodySite,,,,,,,,,,,,,,,CodeableConcept,CodeableConcept {[]} {[]},,,,,"May be a summary code, or a reference to a very precise definition of the location, or both.","Only used if not implicit in code found in Condition.code. If the use case requires attributes from the BodySite resource (e.g. to identify and track separately) then use the standard extension [bodySite](http://hl7.org/fhir/R4/extension-bodysite.html).  May be a summary code, or a reference to a very precise definition of the location, or both.",,,,,,,,,,,,,,,0.0,0,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.targetBodySiteCode,< 442083009  |Anatomical or acquired body structure|,,
Condition.category,,,,,,,,,1,*,,Y,,,CodeableConcept,CodeableConcept {[]} {[]},complaint | symptom | finding | diagnosis,category codes,,,,,,,,,preferred,extensible,Extended category code valueset to support the intent of the separate concepts of problems and health concerns,A category assigned to the condition.,http://fhir.org/guides/argonaut/ValueSet/condition-category,http://hl7.org/fhir/ValueSet/condition-category,,pattern:$this},Condition.category,open,0.0,Condition.category,1,0,,*,,,Condition.category,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,
Condition.category-sdoh,,Condition.category,,sdoh,,,,0.0,,1,,Y,,,,CodeableConcept {[]} {[]},,problem-list-item | encounter-diagnosis,,A category assigned to the condition.,,The categorization is often highly contextual and may appear poorly differentiated or not very useful in other contexts.,,,,"<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://hl7.org/fhir/us/core/CodeSystem/us-core-tags""/>
    <code value=""sdoh""/>
  </coding>
</valueCodeableConcept>",,extensible,,A category assigned to the condition.,,http://hl7.org/fhir/ValueSet/condition-category,,,,Condition.category,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,< 404684003 |Clinical finding|,right_only,
Condition.category-us-core,,Condition.category,,us-core,,,,1.0,,*,,Y,,,,CodeableConcept {[]} {[]},,problem-list-item | health-concern,,A category assigned to the condition.,,The categorization is often highly contextual and may appear poorly differentiated or not very useful in other contexts.,,,,,,required,,,,http://hl7.org/fhir/us/core/ValueSet/us-core-problem-or-health-concern,,,,Condition.category,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,< 404684003 |Clinical finding|,right_only,
