,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
Path_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedicationOrder-argoprofile,MedicationOrder,,argoprofile,,Prescription,,0.0,,*,,,,,,,,,,Argonaut MedicationOrder Profile,,"An order for both supply of the medication and the instructions for administration of the medication to a patient. The resource is called ""MedicationOrder"" rather than ""MedicationPrescription"" to generalize the use across inpatient and outpatient settings as well as for care plans, etc.",,,,,,,,,,,,,,,,MedicationOrder,,0.0,,*,,,,,,CombinedMedicationRequest,,,left_only
MedicationOrder.contained,MedicationOrder.contained,,,,"inline resources
anonymous resourcescontained resources",,0.0,,*,,,,,,,,Resource,,"Contained, inline Resources",,"These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.",,"This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.",,,,,,,,,,,,,,MedicationOrder.contained,,0.0,,*,,,,,,,,,left_only
MedicationOrder.dateEnded,MedicationOrder.dateEnded,,,,,,0.0,,1,,,,,,Y,,dateTime,,When prescription was stopped,,The date (and perhaps time) when the prescription was stopped.,,,,,,,,,,,,,,,,MedicationOrder.dateEnded,,0.0,,1,,,,,,,,,left_only
MedicationOrder.dateWritten,MedicationOrder.dateWritten,,,,,,1.0,,1,,Y,,,,,,dateTime,,When prescription was authorized,,The date (and perhaps time) when the prescription was written.,,,,,,,,,,,,,,,,MedicationOrder.dateWritten,,0.0,,1,,,,,,author.time,,,left_only
MedicationOrder.dispenseRequest,MedicationOrder.dispenseRequest,,,,,,0.0,,1,,,,,,Y,,BackboneElement,,Medication supply authorization,,Indicates the specific details for the dispense or medication supply part of a medication order (also known as a Medication Prescription).  Note that this information is NOT always sent with the order.  There may be in some settings (e.g. hospitals) institutional or system support for completing the dispense details in the pharmacy department.,,,,,,,,,,,,,,,,MedicationOrder.dispenseRequest,,0.0,,1,,,,,,component.supplyEvent,,,left_only
MedicationOrder.dispenseRequest.expectedSupplyDuration,MedicationOrder.dispenseRequest.expectedSupplyDuration,,,,,,0.0,,1,,,,,,Y,,Quantity {http://hl7.org/fhir/StructureDefinition/Duration},,Number of days supply per dispense,,"Identifies the period time over which the supplied product is expected to be used, or the length of time the dispense is expected to last.",,"In some situations, this attribute may be used instead of quantity to identify the amount supplied by how long it is expected to last, rather than the physical quantity issued, e.g. 90 days supply of medication (based on an ordered dosage) When possible, it is always better to specify quantity, as this tends to be more precise. expectedSupplyDuration will always be an estimate that can be influenced by external factors.",,,,,,,,,,,,,,MedicationOrder.dispenseRequest.expectedSupplyDuration,,0.0,,1,,,,,,expectedUseTime,,,left_only
MedicationOrder.dispenseRequest.extension,MedicationOrder.dispenseRequest.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.dispenseRequest.extension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.dispenseRequest.id,MedicationOrder.dispenseRequest.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,,,,,MedicationOrder.dispenseRequest.id,,0.0,,1,,,,,,,,,left_only
MedicationOrder.dispenseRequest.medication[x],MedicationOrder.dispenseRequest.medication[x],,,,,,0.0,,1,,,,,,Y,,"CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/Medication}",,Product to be supplied,,Identifies the medication being administered. This is a link to a resource that represents the medication which may be the details of the medication or simply an attribute carrying a code that identifies the medication from a known list of medications.,,"If only a code is specified, then it needs to be a code for a specific product.  If more information is required, then the use of the medication resource is recommended.",,,,,,,,,,,,,,MedicationOrder.dispenseRequest.medication[x],,0.0,,1,,,,,,consumable.role,,,left_only
MedicationOrder.dispenseRequest.modifierExtension,MedicationOrder.dispenseRequest.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.dispenseRequest.modifierExtension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.dispenseRequest.numberOfRepeatsAllowed,MedicationOrder.dispenseRequest.numberOfRepeatsAllowed,,,,,,0.0,,1,,,,,,Y,,positiveInt,,Number of refills authorized,,"An integer indicating the number of additional times (aka refills or repeats) the patient can receive the prescribed medication.   Usage Notes: This integer does NOT include the original order dispense.   This means that if an order indicates dispense 30 tablets plus  ""3 repeats"", then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.",,"If displaying ""number of authorized refills"", subtract 1 from this number.",,,,,,,,,,,,,,MedicationOrder.dispenseRequest.numberOfRepeatsAllowed,,0.0,,1,,,,,,repeatNumber,,,left_only
MedicationOrder.dispenseRequest.quantity,MedicationOrder.dispenseRequest.quantity,,,,,,0.0,,1,,,,,,Y,,Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity},,Amount of medication to supply per dispense,,The amount that is to be dispensed for one fill.,,,,,,,,,,,,,,,,MedicationOrder.dispenseRequest.quantity,,0.0,,1,,,,,,quantity,,,left_only
MedicationOrder.dispenseRequest.validityPeriod,MedicationOrder.dispenseRequest.validityPeriod,,,,,,0.0,,1,,,,,,Y,,Period,,Time period supply is authorized for,,This indicates the validity period of a prescription (stale dating the Prescription).,,It reflects the prescriber perspective for the validity of the prescription. Dispenses must not be made against the prescription outside of this period. The lower-bound of the Dispensing Window signifies the earliest date that the prescription can be filled for the first time. If an upper-bound is not specified then the Prescription is open-ended or will default to a stale-date based on regulations.,,"Indicates when the Prescription becomes valid, and when it ceases to be a dispensable Prescription.",,,,,,,,,,,,MedicationOrder.dispenseRequest.validityPeriod,,0.0,,1,,,,,,effectiveTime,,,left_only
MedicationOrder.dosageInstruction,MedicationOrder.dosageInstruction,,,,,,0.0,,*,,,,,,Y,,BackboneElement,,How medication should be taken,,Indicates how the medication is to be used by the patient.,,"When the dose or rate is intended to change over the entire administration period, e.g. Tapering dose prescriptions, multiple instances of dosage instructions will need to be supplied to convey the different doses/rates. Another common example in institutional settings is 'titration' of an IV medication dose to maintain a specific stated hemodynamic value or range e.g. drug x to be administered to maintain AM (arterial mean) greater than 65.",,,,,,,,,,,,,,MedicationOrder.dosageInstruction,,0.0,,*,,,,,,component.substanceAdministrationRequest,,,left_only
MedicationOrder.dosageInstruction.additionalInstructions,MedicationOrder.dosageInstruction.additionalInstructions,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,"Supplemental instructions - e.g. ""with meals""",,"Additional instructions such as ""Swallow with plenty of water"" which may or may not be coded.",,,,,,example,,"Codes identifying additional instructions such as ""take with water"" or ""avoid operating heavy machinery"".",,,,,,,,MedicationOrder.dosageInstruction.additionalInstructions,,0.0,,1,,,,,,component.substanceAdministrationRequest.text,,,left_only
MedicationOrder.dosageInstruction.asNeeded[x],MedicationOrder.dosageInstruction.asNeeded[x],,,,,,0.0,,1,,,,,,Y,,"boolean
CodeableConcept",,"Take ""as needed"" (for x)",,"Indicates whether the Medication is only taken when needed within a specific dosing schedule (Boolean option), or it indicates the precondition for taking the Medication (CodeableConcept).",,"Specifically if 'boolean' datatype is selected, then the following logic applies:  If set to True, this indicates that the medication is only taken when needed, within the specified schedule.",,,,example,,"A coded concept identifying the precondition that should be met or evaluated prior to consuming or administering a medication dose.  For example ""pain"", ""30 minutes prior to sexual intercourse"", ""on flare-up"" etc.",,,,,,,,MedicationOrder.dosageInstruction.asNeeded[x],,0.0,,1,,,,,,"boolean: precondition.negationInd (inversed - so negationInd = true means asNeeded=false  CodeableConcept: precondition.observationEventCriterion[code=""Assertion""].value",,,left_only
MedicationOrder.dosageInstruction.dose[x],MedicationOrder.dosageInstruction.dose[x],,,,,,0.0,,1,,,,,,Y,,"Range
Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity}",,Amount of medication per dose,,The amount of therapeutic or other substance given at one administration event.,,"Note that this specifies the quantity of the specified medication, not the quantity for each active ingredient(s). Each ingredient amount can be communicated in the Medication resource. For example, if one wants to communicate that a tablet was 375 mg, where the dose was one tablet, you can use the Medication resource to document that the tablet was comprised of 375 mg of drug XYZ. Alternatively if the dose was 375 mg, then you may only need to use the Medication resource to indicate this was a tablet. If the example were an IV such as dopamine and you wanted to communicate that 400mg of dopamine was mixed in 500 ml of some IV solution, then this would all be communicated in the Medication resource. If the administration is not intended to be instantaneous (rate is present or timing has a duration), this can be specified to convey the total amount to be administered over the period of time as indicated by the schedule e.g. 500 ml in dose, with timing used to convey that this should be done over 4 hours.",,,,,,,,,,,,,,MedicationOrder.dosageInstruction.dose[x],,0.0,,1,,,,,,doseQuantity,,,left_only
MedicationOrder.dosageInstruction.extension,MedicationOrder.dosageInstruction.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.dosageInstruction.extension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.dosageInstruction.id,MedicationOrder.dosageInstruction.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,,,,,MedicationOrder.dosageInstruction.id,,0.0,,1,,,,,,,,,left_only
MedicationOrder.dosageInstruction.maxDosePerPeriod,MedicationOrder.dosageInstruction.maxDosePerPeriod,,,,,,0.0,,1,,,,,,Y,,Ratio,,Upper limit on medication per unit of time,,"The maximum total quantity of a therapeutic substance that may be administered to a subject over the period of time.  For example, 1000mg in 24 hours.",,"This is intended for use as an adjunct to the dosage when there is an upper cap.  For example ""2 tablets every 4 hours to a maximum of 8/day"".",,,,,,,,,,,,,,MedicationOrder.dosageInstruction.maxDosePerPeriod,,0.0,,1,,,,,,maxDoseQuantity,,,left_only
MedicationOrder.dosageInstruction.method,MedicationOrder.dosageInstruction.method,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,Technique for administering medication,,"A coded value indicating the method by which the medication is introduced into or onto the body. Most commonly used for injections.  For examples, Slow Push; Deep IV.",,Terminologies used often pre-coordinate this term with the route and or form of administration.,,,,example,,A coded concept describing the technique by which the medicine is administered.,,,,,,,,MedicationOrder.dosageInstruction.method,,0.0,,1,,,,,,methodCode,,,left_only
MedicationOrder.dosageInstruction.modifierExtension,MedicationOrder.dosageInstruction.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.dosageInstruction.modifierExtension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.dosageInstruction.rate[x],MedicationOrder.dosageInstruction.rate[x],,,,,,0.0,,1,,,,,,Y,,"Ratio
Range",,Amount of medication per unit of time,,"Identifies the speed with which the medication was or will be introduced into the patient. Typically the rate for an infusion e.g. 100 ml per 1 hour or 100 ml/hr.  May also be expressed as a rate per unit of time e.g. 500 ml per 2 hours.   Currently we do not specify a default of '1' in the denominator, but this is being discussed. Other examples: 200 mcg/min or 200 mcg/1 minute; 1 liter/8 hours.",,"It is possible to supply both a rate and a doseQuantity to provide full details about how the medication is to be administered and supplied. If the rate is intended to change over time, depending on local rules/regulations, each change should be captured as a new version of the MedicationOrder with an updated rate, or captured with a new MedicationOrder with the new rate.",,,,,,,,,,,,,,MedicationOrder.dosageInstruction.rate[x],,0.0,,1,,,,,,rateQuantity,,,left_only
MedicationOrder.dosageInstruction.route,MedicationOrder.dosageInstruction.route,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,How drug should enter body,,A code specifying the route or physiological path of administration of a therapeutic agent into or onto a patient's body.,,,,,,example,,A coded concept describing the route or physiological path of administration of a therapeutic agent into or onto the body of a subject.,,http://hl7.org/fhir/ValueSet/route-codes,,,,,,MedicationOrder.dosageInstruction.route,,0.0,,1,,,,,,routeCode,,,left_only
MedicationOrder.dosageInstruction.site[x],MedicationOrder.dosageInstruction.site[x],,,,,,0.0,,1,,,,,,Y,,"CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/BodySite}",,Body site to administer to,,A coded specification of the anatomic site where the medication first enters the body.,,,,,,example,,A coded concept describing the site location the medicine enters into or onto the body.,,http://hl7.org/fhir/ValueSet/approach-site-codes,,,,,,MedicationOrder.dosageInstruction.site[x],,0.0,,1,,,,,,approachSiteCode,,,left_only
MedicationOrder.dosageInstruction.text,MedicationOrder.dosageInstruction.text,,,,,,0.0,,1,,,,,,Y,,string,,Dosage instructions expressed as text,,"Free text dosage instructions can be used for cases where the instructions are too complex to code.  The content of this attribute does not include the name or description of the medication. When coded instructions are present, the free text instructions may still be present for display to humans taking or administering the medication. It is expected that the text instructions will always be populated.  If the dosage.timing attribute is also populated, then the dosage.text should reflect the same information as the timing.",,,,,,,,,,,,,,,,MedicationOrder.dosageInstruction.text,,0.0,,1,,,,,,text,,,left_only
MedicationOrder.dosageInstruction.timing,MedicationOrder.dosageInstruction.timing,,,,,,0.0,,1,,,,,,Y,,Timing,,When medication should be administered,,"The timing schedule for giving the medication to the patient. The Schedule data type allows many different expressions. For example: ""Every 8 hours""; ""Three times a day""; ""1/2 an hour before breakfast for 10 days from 23-Dec 2011:""; ""15 Oct 2013, 17 Oct 2013 and 1 Nov 2013"".",,"This attribute may not always be populated while the DosageInstruction.text is expected to be populated.  If both are populated, then the DosageInstruction.text should reflect the content of the Dosage.timing.",,,,,,,,,,,,,,MedicationOrder.dosageInstruction.timing,,0.0,,1,,,,,,effectiveTime,,,left_only
MedicationOrder.encounter,MedicationOrder.encounter,,,,,,0.0,,1,,,,,,Y,,Reference {http://hl7.org/fhir/StructureDefinition/Encounter},,Created during encounter/admission/stay,,A link to a resource that identifies the particular occurrence of contact between patient and health care provider.,,SubstanceAdministration->component->EncounterEvent.,,,,,,,,,,,,,,MedicationOrder.encounter,,0.0,,1,,,,,,componentOf.patientEncounter,,,left_only
MedicationOrder.extension,MedicationOrder.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.extension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.id,MedicationOrder.id,,,,,,0.0,,1,,,,,,Y,,id,,Logical id of this artifact,,"The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.",,"The only time that a resource does not have an id is when it is being submitted to the server using a create operation. Bundles always have an id, though it is usually a generated UUID.",,,,,,,,,,,,,,MedicationOrder.id,,0.0,,1,,,,,,,,,left_only
MedicationOrder.identifier,MedicationOrder.identifier,,,,,,0.0,,*,,,,,,Y,,Identifier,,External identifier,,External identifier - one that would be used by another non-FHIR system - for example a re-imbursement system might issue its own id for each prescription that is created.  This is particularly important where FHIR only provides part of an entire workflow process where records have to be tracked through an entire system.,,,,,,,,,,,,,,,,MedicationOrder.identifier,,0.0,,*,,,,,,id,,,left_only
MedicationOrder.implicitRules,MedicationOrder.implicitRules,,,,,,0.0,,1,,,,Y,,Y,,uri,,A set of rules under which this content was created,,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.",,"Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element as much as possible.",,,,,,,,,,,,,,MedicationOrder.implicitRules,,0.0,,1,,,,,,,,,left_only
MedicationOrder.language,MedicationOrder.language,,,,,,0.0,,1,,,,,,,,code,,Language of the resource content,,The base language in which the resource is written.,,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",,,,required,,A human language.,,http://tools.ietf.org/html/bcp47,,,,,,MedicationOrder.language,,0.0,,1,,,,,,,,,left_only
MedicationOrder.medication[x],MedicationOrder.medication[x],,,,,,1.0,,1,,Y,,,,,,"CodeableConcept
Reference {http://fhir.org/guides/argonaut/StructureDefinition/argo-medication}",,Medication to be taken,,Identifies the medication being administered. This is a link to a resource that represents the medication which may be the details of the medication or simply an attribute carrying a code that identifies the medication from a known list of medications.,,"If only a code is specified, then it needs to be a code for a specific product.  If more information is required, then the use of the medication resource is recommended.  Note: do not use Medication.name to describe the prescribed medication. When the only available information is a text description of the medication, Medication.code.text should be used.",,,,extensible,,Prescribable medications,,http://fhir.org/guides/argonaut/ValueSet/medication-codes,,,,,,MedicationOrder.medication[x],,1.0,,1,,,,,,consumable.administrableMedication,,,left_only
MedicationOrder.meta,MedicationOrder.meta,,,,,,0.0,,1,,,,,,Y,,Meta,,Metadata about the resource,,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.,,,,,,,,,,,,,,,,MedicationOrder.meta,,0.0,,1,,,,,,,,,left_only
