,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
Path_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarePlan-argoprofile,CarePlan,,argoprofile,,Care Team,,0.0,,*,,,,,,,,,,Argonaut CareTeam Profile,,"Describes the intention of how one or more practitioners intend to deliver care for a particular patient, group or community for a period of time, possibly limited to care for a specific condition or set of conditions.",,,,,,,,,,,,CarePlan,,0.0,,*,,,,,,CareTeam,,,left_only
CarePlan.activity,CarePlan.activity,,,,,,0.0,,*,,,,,,,,BackboneElement,,Action to occur as part of plan,,"Identifies a planned action to occur as part of the plan.  For example, a medication to be used, lab tests to perform, self-monitoring, education, etc.",,,,"Allows systems to prompt for performance of planned activities, and validate plans against best practice.",,,,,,,,CarePlan.activity,,0.0,,*,,,,"cpl-3:Provide a reference or detail, not both {null}",,.outboundRelationship[typeCode=COMP].target,,,left_only
CarePlan.activity.actionResulting,CarePlan.activity.actionResulting,,,,,,0.0,,*,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Resource},,"Appointments, orders, etc.",,"Resources that describe follow-on actions resulting from the plan, such as drug prescriptions, encounter records, appointments, etc.",,,,Links plan to resulting actions.,,,,,,,,CarePlan.activity.actionResulting,,0.0,,*,,,,,,.inboundRelationship[typeCode=FLFS].source,,,left_only
CarePlan.activity.detail,CarePlan.activity.detail,,,,,,0.0,,1,,,,,,,,BackboneElement,,In-line definition of activity,,A simple summary of a planned activity suitable for a general care plan system (e.g. form driven) that doesn't know about specific resources such as procedure etc.,,,,Details in a simple form for generic care plan systems.,,,,,,,,CarePlan.activity.detail,,0.0,,1,,cpl-3,,,,".outboundRelationship[typeCode=COMP, subsetCode=SUMM].target",,,left_only
CarePlan.activity.detail.category,CarePlan.activity.detail.category,,,,,,0.0,,1,,,,,,,,CodeableConcept,,diet | drug | encounter | observation | procedure | supply | other,,High-level categorization of the type of activity in a care plan.,,,,May determine what types of extensions are permitted.,,example,,High-level categorization of the type of activity in a care plan.,,http://hl7.org/fhir/ValueSet/care-plan-activity-category,,CarePlan.activity.detail.category,,0.0,,1,,,,,,.inboundRelationship[typeCode=COMP].source[classCode=LIST].code,,,left_only
CarePlan.activity.detail.code,CarePlan.activity.detail.code,,,,,,0.0,,1,,,,,,,,CodeableConcept,,Detail type of activity,,"Detailed description of the type of planned activity; e.g. What lab test, what procedure, what kind of encounter.",,"Tends to be less relevant for activities involving particular products.  Codes should not convey negation - use ""prohibited"" instead.",,Allows matching performed to planned as well as validation against protocols.,,example,,"Detailed description of the type of activity; e.g. What lab test, what procedure, what kind of encounter.",,http://hl7.org/fhir/ValueSet/care-plan-activity,,CarePlan.activity.detail.code,,0.0,,1,,,,,,.code,,,left_only
CarePlan.activity.detail.dailyAmount,CarePlan.activity.detail.dailyAmount,,,,daily dose,,0.0,,1,,,,,,,,Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity},,How to consume/day?,,Identifies the quantity expected to be consumed in a given day.,,,,Allows rough dose checking.,,,,,,,,CarePlan.activity.detail.dailyAmount,,0.0,,1,,,,,,.outboundRelationship[typeCode=COMP][classCode=SBADM].doseQuantity,,,left_only
CarePlan.activity.detail.description,CarePlan.activity.detail.description,,,,,,0.0,,1,,,,,,,,string,,Extra info describing activity to perform,,"This provides a textual description of constraints on the intended activity occurrence, including relation to other activities.  It may also include objectives, pre-conditions and end-conditions.  Finally, it may convey specifics about the activity such as body site, method, route, etc.",,,,,,,,,,,,CarePlan.activity.detail.description,,0.0,,1,,,,,,.text,,,left_only
