,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Default Value,Default Value,Meaning When Missing,Meaning When Missing,Example,Example,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
Path_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient,,Patient,,,,SubjectOfCare Client Resident,,0.0,,*,,,,,,,,,,Information about an individual or animal receiving health care services,,\-,,\-,,,,,,,,,,,,,,,,,,,,Patient,,0,,*,,,,"dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}us-core-6:Either Patient.name.given and/or Patient.name.family SHALL be present or a Data Absent Reason Extension SHALL be present. {(name.family.exists() or name.given.exists()) xor extension.where(url='http://hl7.org/fhir/StructureDefinition/data-absent-reason').exists()}",,"Entity. Role, or Act",right_only,
Patient-Argoprofile,Patient,,Argoprofile,,SubjectOfCare Client Resident,,0.0,,*,,,,,,,,,,Argonaut Patient Profile,,Demographics and other administrative information about an individual or animal receiving care or other health-related services.,,,,,,,,,,,,,,,,,,,,,,Patient,,0,,*,,,,,,ClinicalDocument.recordTarget.patientRole,,,left_only
Patient.active,,,,,,,,,,,,,,,,,boolean,boolean {[]} {[]},,,Whether this patient record is in active use.,"Whether this patient record is in active use. 
Many systems use this property to mark as non-current patients, such as those that have not been seen for a period of time based on an organization's business rules.

It is often used to filter patient lists to exclude inactive patients

Deceased patients may also be marked as inactive for the same reasons, but may be active for some time after death.","Default is true. If a record is inactive, and linked to an active record, then future patient/record updates should occur on the other patient.","If a record is inactive, and linked to an active record, then future patient/record updates should occur on the other patient.",,,"<valueBoolean xmlns=""http://hl7.org/fhir"" value=""true""/>",,,This resource is generally assumed to be active if no value is provided for the active element,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,statusCode,,
Patient.address,,,,,,,,,,,,Y,,,,,Address,Address {[]} {[]},Addresses for the individual,An address for the individual,Addresses for the individual.,An address for the individual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.addr,addr,,
Patient.address.city,,Patient.address.city,,,,Municpality,,0.0,,1,,Y,,,,Y,,string {[]} {[]},,"Name of city, town etc.",,"The name of the city, town, suburb, village or other community or delivery center.",,,,,,,,,,"<valueString xmlns=""http://hl7.org/fhir"" value=""Erewhon""/>",,,,,,,,,,,,Address.city,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,AD.part[parttype = CTY],right_only,
Patient.address.country,,Patient.address.country,,,,,,0.0,,1,,,,,,Y,,string {[]} {[]},,Country (e.g. can be ISO 3166 2 or 3 letter code),,Country - a nation as commonly understood or generally accepted.,,ISO 3166 3 letter codes can be used in place of a human readable country name.,,,,,,,,,,,,,,,,,,,,Address.country,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,AD.part[parttype = CNT],right_only,
Patient.address.district,,Patient.address.district,,,,County,,0.0,,1,,,,,,Y,,string {[]} {[]},,District name (aka county),,The name of the administrative area (county).,,"District is sometimes known as county, but in some regions 'county' is used in place of city (municipality), so county name should be conveyed in city instead.",,,,,,,,"<valueString xmlns=""http://hl7.org/fhir"" value=""Madison""/>",,,,,,,,,,,,Address.district,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,AD.part[parttype = CNT | CPA],right_only,
Patient.address.extension,,Patient.address.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
Patient.address.id,,Patient.address.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
Patient.address.line,,Patient.address.line,,,,,,0.0,,*,,Y,,,,Y,,string {[]} {[]},,"Street name, number, direction & P.O. Box etc.",,"This component contains the house number, apartment number, street name, street direction,  P.O. Box number, delivery hints, and similar address information.",,,,,,,,,,"<valueString xmlns=""http://hl7.org/fhir"" value=""137 Nowhere Street""/>",,,,,,,,,,,,Address.line,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,AD.part[parttype = AL],right_only,
Patient.address.period,,Patient.address.period,,,,,,0.0,,1,,Y,,,,Y,,Period {[]} {[]},,Time period when address was/is in use,,Time period when address was/is in use.,,,,Allows addresses to be placed in historical context.,,,,,,"<valuePeriod xmlns=""http://hl7.org/fhir"">
  <start value=""2010-03-23""/>
  <end value=""2010-07-01""/>
</valuePeriod>",,,,,,,,,,,,Address.period,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,"./usablePeriod[type=""IVL<TS>""]",right_only,
Patient.address.postalCode,,Patient.address.postalCode,,,,"Zip
Zip Code",,0.0,,1,,Y,,,,Y,,string {[]} {[]},,US Zip Codes,,A postal code designating a region defined by the postal service.,,,,,,,,,,"<valueString xmlns=""http://hl7.org/fhir"" value=""9132""/>",,,,,,,,,,,,Address.postalCode,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,AD.part[parttype = ZIP],right_only,
Patient.address.state,,Patient.address.state,,,,"Province
Territory",,0.0,,1,,Y,,,,Y,,string {[]} {[]},,Sub-unit of country (abbreviations ok),,Sub-unit of a country with limited sovereignty in a federally organized country. A code may be used if codes are in common use (e.g. US 2 letter state codes).,,,,,,,,,,,,extensible,,Two Letter USPS alphabetic codes.,,http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state,,,,,,Address.state,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,AD.part[parttype = STA],right_only,
Patient.address.text,,Patient.address.text,,,,,,0.0,,1,,,,,,Y,,string {[]} {[]},,Text representation of the address,,Specifies the entire address as it should be displayed e.g. on a postal label. This may be provided instead of or as well as the specific parts.,,"Can provide both a text representation and parts. Applications updating an address SHALL ensure that  when both text and parts are present,  no content is included in the text that isn't found in a part.",,"A renderable, unencoded form.",,,,,,"<valueString xmlns=""http://hl7.org/fhir"" value=""137 Nowhere Street, Erewhon 9132""/>",,,,,,,,,,,,Address.text,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,./formatted,right_only,
Patient.address.type,,Patient.address.type,,,,,,0.0,,1,,,,,,Y,,code {[]} {[]},,postal | physical | both,,Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.,,"The definition of Address states that ""address is intended to describe postal addresses, not physical locations"". However, many applications track whether an address has a dual purpose of being a location that can be visited as well as being a valid delivery destination, and Postal addresses are often used as proxies for physical locations (also see the [Location](http://hl7.org/fhir/R4/location.html#) resource).",,,,,,,,"<valueCode xmlns=""http://hl7.org/fhir"" value=""both""/>",,required,,The type of an address (physical / postal).,,http://hl7.org/fhir/ValueSet/address-type|4.0.1,,,,,,Address.type,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,unique(./use),right_only,
